969376537
3,0,37,0,103,0,41,0,191,
11,97,349,751,3259,1933,3313,3709,9382,
37,241,4426,6011,15868,30493,55793,101287,138451,
226,1777,18266,49391,120097,317969,541417,860941,2253971,
617,7309,65578,230281,1244318,2744449,5936482,10068859,23717861,
1642,34057,304709,1534751,8206531,17074961,61203458,156060217,312881461,
5158,116593,1362341,9963251,57257791,158986283,495469609,968618611,969390991,
11497,463747,8449913,60299441,290589487,968397641,969396097,969396607,969396611,
19394,1860373,32926378,304650821,969286867,969396499,969396529,969396481,969396671,
58066,7194013,139675933,968836691,969396607,969396569,969396569,969394969,969396481,
136859,20940193,600937793,969395951,969396529,969396611,969391273,969394051,969391021,
239873,51481237,969383473,969396671,969396229,969388309,969395897,969396031,969349441,
608789,160782877,969396569,969396481,969392317,969394973,969348001,969346333,969059171,
1091339,612400081,969396509,969396451,969391933,969137219,969354929,958663729,964996421,
2899861,969347371,969396749,969381451,969198001,967388969,967301969,967983193,958509841,
5357603,969395503,969396097,969280541,969176797,965096917,962314993,961447321,948384191,
13919273,969396529,969396529,969310451,964267021,955547027,956414689,966737413,828481861,
27700919,969396487,969386017,968692201,961821607,868826561,943733521,881734411,0,
70483537,969396607,969178169,964130051,930160537,939249053,756156721,392095063,0,
122954173,969396031,969394729,969214751,969376921,969146683,969391201,966789379,968539441,
282097363,969396193,969088633,962667271,943627309,847195483,306671473,643121173,0,
477395357,969394681,968013481,968072321,620951473,267126371,874780201,0,0,
958485937,969378583,958980401,763513991,0,0,0,0,0,
