4001499
0,0,37,0,103,0,41,0,191,
11,97,349,751,3259,1933,3313,3709,9091,
37,241,2609,6011,14173,30493,55793,101287,138451,
139,1777,18061,49391,120097,317969,541417,860941,1920811,
617,7309,64661,230281,851359,2004017,3997129,3995281,4000291,
1069,34057,304709,1534751,3993721,4000361,4001089,4001383,4001411,
3389,116593,1362341,3997751,4001467,4001467,4001369,4001167,4001461,
11497,463747,3993193,4001461,4001461,4001383,3999529,3999313,3998821,
17863,1860373,4001461,4001071,4001407,4000823,3998369,3960667,3993901,
58013,3956287,4001453,4000951,4001017,3998233,3950497,3819583,3870551,
136859,4000693,4001357,3999791,3990997,3976519,3970849,1596169,3783001,
239873,4001467,4000861,3998131,3990601,3998821,3986641,3922993,3933841,
608789,4001269,3998641,3980491,3934873,3766057,0,1849843,0,
1091339,4001383,3998041,3938531,3142747,1558103,3061249,0,0,
2011753,4000723,4000361,3968011,3665029,0,3883489,0,3726661,
3969773,4000273,3914257,1530541,0,0,0,0,0,
4001227,3999337,3930461,3670301,0,3836827,0,0,0,
4001461,3992347,1490161,1589851,0,0,0,0,0,
4001407,3932641,3371497,0,0,0,0,0,0,
4001483,3991093,3986641,3993901,0,3853249,3889489,3041407,0,
4001071,3976009,629281,0,0,0,0,0,0,
