3079501
0,0,37,0,103,0,41,0,191,
11,97,349,751,3259,1933,3313,3709,9091,
37,241,2609,6011,14173,30493,55793,101287,138451,
139,1777,18061,49391,120097,317969,541417,860941,2253971,
617,7309,64661,230281,851359,2744449,3077273,3077479,3079441,
1069,34057,304709,1534751,3073669,3079357,3079457,3079441,3079451,
3389,116593,1362341,3078431,3079429,3079441,3079129,3078217,3079331,
11497,463747,3078997,3079331,3079381,3078839,3079289,3078451,3078401,
17863,1860373,3079457,3079451,3079441,3068941,3078401,3075679,3074821,
58013,3065617,3079441,3079441,3076753,3069347,3071569,2892151,2986411,
136859,3079303,3079289,3075901,3069379,3075577,2724121,2848609,2468701,
239873,3079411,3079229,3077171,3074089,3078503,3075409,2838889,3061321,
608789,3079429,3077681,3064141,2534053,533261,0,1849843,0,
1091339,3079207,3065813,3015791,630523,2774479,3061249,0,0,
2899861,3079441,3040657,2742241,0,2748061,0,0,0,
3075263,3078799,3055501,1530541,0,0,0,0,0,
3079331,3078199,2500081,2093321,0,0,0,0,0,
3079339,3067639,2163281,1589851,0,0,0,0,0,
3079457,3046501,2441449,0,0,0,0,0,0,
3079441,3075829,3076369,3074821,0,2902271,2888449,3041407,0,
3079451,2952421,629281,0,0,0,0,0,0,
