11081209
0,0,37,0,103,0,0,0,
11,97,349,751,3259,0,0,0,
37,241,2609,6011,14173,0,0,0,
139,9257329,18061,49391,120097,0,0,0,
617,7309,64661,230281,851359,0,0,0,
1069,34057,304709,1534751,8206531,0,0,0,
3389,116593,1362341,9963251,11081089,0,0,0,
11497,463747,8449913,11080151,11081137,0,0,0,
17863,1860373,11080129,11081171,11081179,0,0,0,
58013,7194013,11081153,11080681,11080789,0,0,0,
136859,11063737,11081177,11078971,11079709,0,0,0,
239873,11080603,11081137,11079331,11075161,0,0,0,
608789,11081137,11081089,11063581,11073553,0,0,0,
1091339,11081107,11076761,11071171,10984273,0,0,0,
2899861,11081179,11080561,10961921,11068201,0,0,0,
5357603,11080789,11077873,10916561,0,0,0,0,
10898383,11081113,11065297,9925781,9488389,0,0,0,
