4282093
0,0,37,0,103,0,41,0,191,0,421,0,211,
11,97,349,751,3259,1933,3313,3709,9091,13883,14341,15809,31319,
37,241,2609,6011,14173,30493,55793,101287,138451,212873,354301,449203,973757,
139,1777,18061,49391,120097,317969,541417,860941,2253971,2675773,3943021,4202641,4277113,
617,7309,64661,230281,851359,2744449,4269961,4278691,4281941,4281443,4282021,4281967,4282027,
1069,34057,304709,1534751,4281799,4281733,4281649,4281913,4281971,4281971,4281853,4281889,4281971,
3389,116593,1362341,4280741,4282063,4282027,4282009,4281967,4282051,4277593,4281649,4280407,4271737,
11497,463747,4278941,4282021,4281967,4282013,4281913,4282021,4282021,4278847,4277017,4267199,4276721,
17863,1860373,4282021,4282051,4282009,4277099,4281353,4264219,4276621,4068241,4266481,4253237,4036537,
58013,4239463,4282013,4281731,4280527,4273151,4271161,4249459,4036801,4144537,4080121,3546661,0,
136859,4282027,4282001,4281581,4277263,4270169,4189553,2848609,4099621,4241623,4181521,1246103,3601669,
239873,4282021,4282009,4281791,4280623,4256281,4274689,4240567,4136641,4179913,4243969,3199249,4256281,
608789,4282063,4281913,4271621,4218733,3766057,0,1849843,0,3455519,0,3280213,0,
1091339,4281913,4281533,4181461,3142747,2774479,3061249,0,0,0,0,0,0,
2899861,4282009,4271801,4010621,3665029,2748061,3883489,0,3726661,0,0,0,0,
4272239,4280623,4278361,1530541,0,0,0,0,0,0,0,0,0,
4280527,4275031,4242289,3670301,0,3836827,0,0,0,0,0,0,0,
4282021,4281493,4233041,1589851,0,0,0,0,0,0,0,0,0,
4282027,4269049,3371497,4170121,0,0,0,0,0,0,0,0,0,
4282001,4281691,4281481,4234481,0,4201751,3889489,3041407,4082401,0,0,2367691,3853249,
4282013,4275253,629281,0,0,0,0,0,0,0,0,0,0,
4281967,3767923,0,0,0,0,0,0,0,0,0,0,0,
4282063,4227229,0,0,0,0,0,0,0,0,0,0,0,
4281913,4278991,4269841,4184111,0,2375059,0,3637801,0,0,0,0,0,
4282051,4013641,0,0,0,0,0,0,0,0,0,0,0,
4281283,2643457,0,0,0,0,0,0,0,0,0,0,0,
4279601,2742127,0,0,0,0,0,0,0,0,0,0,0,
4267007,2856409,0,0,0,0,0,0,0,0,0,0,0,
4271299,2808703,0,0,0,0,0,0,0,0,0,0,0,
4279217,0,0,0,0,0,0,0,0,0,0,0,0,
4276313,0,0,0,0,0,0,0,0,0,0,0,0,
4280929,4279777,4012369,2160031,0,0,0,2205883,0,0,0,0,0,
4201073,0,0,0,0,0,0,0,0,0,0,0,0,
4106161,4246111,0,0,0,0,0,0,0,0,0,0,0,
4224377,0,0,0,0,0,0,0,0,0,0,0,0,
4281601,4254451,4179289,3395921,0,0,0,0,0,0,0,0,0,
3727057,0,0,0,0,0,0,0,0,0,0,0,0,
4267169,0,0,0,0,0,0,0,0,0,0,0,0,
3507949,0,0,0,0,0,0,0,0,0,0,0,0,
3991511,0,0,0,0,0,0,0,0,0,0,0,0,
2049349,0,0,0,0,0,0,0,0,0,0,0,0,
3754763,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
4261321,4098817,0,0,0,0,0,0,0,0,0,0,0,
2731381,0,0,0,0,0,0,0,0,0,0,0,0,
4145951,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
